course,module,rubric_path,criteria_count,used_default_criteria,criteria_sample
07-diesel-fuel-systems,week-01-introduction,content\courses\07-diesel-fuel-systems\modules\week-01-introduction\rubric.md,1,no,(list objectives for Diesel Fuel Systems)
07-diesel-fuel-systems,week-02-fundamentals,content\courses\07-diesel-fuel-systems\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Diesel Fuel Systems)
07-diesel-fuel-systems,week-03-components,content\courses\07-diesel-fuel-systems\modules\week-03-components\rubric.md,1,no,(list objectives for Diesel Fuel Systems)
07-diesel-fuel-systems,week-04-diagnostics,content\courses\07-diesel-fuel-systems\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Diesel Fuel Systems)
07-diesel-fuel-systems,week-05-service-procedures,content\courses\07-diesel-fuel-systems\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Diesel Fuel Systems)
07-diesel-fuel-systems,week-06-review,content\courses\07-diesel-fuel-systems\modules\week-06-review\rubric.md,1,no,(list objectives for Diesel Fuel Systems)
08-air-intake-exhaust-systems,week-01-introduction,content\courses\08-air-intake-exhaust-systems\modules\week-01-introduction\rubric.md,1,no,(list objectives for Air Intake & Exhaust Systems)
08-air-intake-exhaust-systems,week-02-fundamentals,content\courses\08-air-intake-exhaust-systems\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Air Intake & Exhaust Systems)
08-air-intake-exhaust-systems,week-03-components,content\courses\08-air-intake-exhaust-systems\modules\week-03-components\rubric.md,1,no,(list objectives for Air Intake & Exhaust Systems)
08-air-intake-exhaust-systems,week-04-diagnostics,content\courses\08-air-intake-exhaust-systems\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Air Intake & Exhaust Systems)
08-air-intake-exhaust-systems,week-05-service-procedures,content\courses\08-air-intake-exhaust-systems\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Air Intake & Exhaust Systems)
08-air-intake-exhaust-systems,week-06-review,content\courses\08-air-intake-exhaust-systems\modules\week-06-review\rubric.md,1,no,(list objectives for Air Intake & Exhaust Systems)
09-electric-vehicle-fundamentals,week-01-introduction,content\courses\09-electric-vehicle-fundamentals\modules\week-01-introduction\rubric.md,1,no,(list objectives for Electric Vehicle Fundamentals)
09-electric-vehicle-fundamentals,week-02-fundamentals,content\courses\09-electric-vehicle-fundamentals\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Electric Vehicle Fundamentals)
09-electric-vehicle-fundamentals,week-03-components,content\courses\09-electric-vehicle-fundamentals\modules\week-03-components\rubric.md,1,no,(list objectives for Electric Vehicle Fundamentals)
09-electric-vehicle-fundamentals,week-04-diagnostics,content\courses\09-electric-vehicle-fundamentals\modules\week-04-diagnostics\rubric.md,1,no,(list objectives for Electric Vehicle Fundamentals)
09-electric-vehicle-fundamentals,week-05-service-procedures,content\courses\09-electric-vehicle-fundamentals\modules\week-05-service-procedures\rubric.md,1,no,(list objectives for Electric Vehicle Fundamentals)
09-electric-vehicle-fundamentals,week-06-review,content\courses\09-electric-vehicle-fundamentals\modules\week-06-review\rubric.md,1,no,(list objectives for Electric Vehicle Fundamentals)
10-hybrid-vehicle-systems,week-01-introduction,content\courses\10-hybrid-vehicle-systems\modules\week-01-introduction\rubric.md,1,no,(list objectives for Hybrid Vehicle Systems)
10-hybrid-vehicle-systems,week-02-fundamentals,content\courses\10-hybrid-vehicle-systems\modules\week-02-fundamentals\rubric.md,1,no,(list objectives for Hybrid Vehicle Systems)
